,category,cardatatype,target
0,Female,MUV,1
1,Female,SUV,1
2,Female,Sedan,0
3,Male,Hatchback,0
4,Male,MUV,0
5,Male,MUV,1
6,Male,Convertible,0
7,Male,MUV,1
8,Female,Convertible,0
9,Male,Hatchback,1
10,Male,SUV,1
11,Male,Convertible,0
12,Male,Coupe,0
13,Male,Sedan,1
14,Female,MUV,0
15,Female,SUV,1
16,Female,Sedan,0
17,Male,Coupe,0
18,Male,Hatchback,0
19,Female,Sedan,1
20,Female,MUV,1
21,Female,MUV,1
22,Male,SUV,0
23,Female,Convertible,0
24,Male,SUV,1
25,Female,Hatchback,0
26,Male,MUV,0
27,Male,Coupe,1
28,Male,MUV,0
29,Male,Sedan,1
30,Male,SUV,0
31,Female,Hatchback,1
32,Male,SUV,0
33,Female,SUV,0
34,Male,Hatchback,0
35,Female,SUV,1
36,Female,MUV,1
37,Male,MUV,1
38,Male,SUV,0
39,Male,Hatchback,1
40,Female,Hatchback,0
41,Female,MUV,0
42,Female,MUV,1
43,Male,SUV,0
44,Female,Convertible,0
45,Female,SUV,0
46,Female,Hatchback,1
47,Female,Hatchback,0
48,Male,Convertible,0
49,Female,Hatchback,1
50,Female,Hatchback,0
51,Female,MUV,0
52,Male,Sedan,1
53,Female,Sedan,1
54,Male,SUV,1
55,Female,Sedan,1
56,Male,Hatchback,1
57,Male,Hatchback,0
58,Male,Sedan,0
59,Male,Hatchback,1
60,Female,Coupe,0
61,Female,Hatchback,1
62,Female,Coupe,0
63,Male,Sedan,0
64,Male,Hatchback,0
65,Male,Convertible,1
66,Male,Hatchback,0
67,Male,MUV,1
68,Female,SUV,1
69,Female,Hatchback,1
70,Female,Sedan,0
71,Female,Sedan,0
72,Male,Convertible,1
73,Male,Convertible,0
74,Female,MUV,0
75,Female,Hatchback,1
76,Female,Sedan,1
77,Male,Hatchback,0
78,Female,MUV,1
79,Female,Coupe,0
80,Female,Hatchback,0
81,Female,Sedan,1
82,Male,Sedan,1
83,Male,Coupe,0
84,Female,Hatchback,0
85,Male,Sedan,0
86,Female,Sedan,1
87,Male,SUV,1
88,Male,MUV,1
89,Female,Coupe,0
90,Female,Convertible,0
91,Female,MUV,1
92,Male,SUV,0
93,Female,Coupe,0
94,Male,Convertible,1
95,Female,MUV,1
96,Male,Convertible,0
97,Female,SUV,1
98,Male,Hatchback,0
99,Male,Hatchback,0
100,Female,SUV,0
101,Female,Convertible,0
102,Female,Sedan,1
103,Female,Convertible,1
104,Male,Convertible,1
105,Male,SUV,1
106,Female,SUV,1
107,Female,Sedan,0
108,Female,Convertible,0
109,Female,Sedan,1
110,Female,MUV,1
111,Female,SUV,1
112,Female,Convertible,0
113,Male,MUV,1
114,Male,Sedan,1
115,Female,Convertible,1
116,Female,Hatchback,1
117,Male,MUV,0
118,Female,Convertible,0
119,Female,SUV,1
120,Female,Hatchback,1
121,Male,Hatchback,1
122,Female,Sedan,0
123,Male,Hatchback,1
124,Female,Coupe,0
125,Female,Sedan,1
126,Male,Hatchback,1
127,Male,Sedan,0
128,Male,Hatchback,0
129,Female,SUV,0
130,Male,Hatchback,0
131,Female,Coupe,1
132,Female,Coupe,0
133,Male,MUV,0
134,Female,MUV,1
135,Male,MUV,1
136,Female,Hatchback,1
137,Female,SUV,1
138,Female,Coupe,1
139,Male,Convertible,0
140,Female,Sedan,0
141,Female,Coupe,0
142,Male,Sedan,1
143,Female,SUV,0
144,Male,Coupe,1
145,Male,Sedan,1
146,Male,MUV,1
147,Male,Coupe,1
148,Male,SUV,1
149,Female,MUV,1
150,Male,SUV,0
151,Female,Convertible,1
152,Male,SUV,1
153,Female,Convertible,1
154,Female,Sedan,0
155,Female,Hatchback,1
156,Male,SUV,1
157,Male,MUV,1
158,Female,Hatchback,1
159,Male,Coupe,1
160,Female,Hatchback,1
161,Female,SUV,1
162,Male,MUV,0
163,Male,MUV,0
164,Female,Convertible,1
165,Female,Hatchback,0
166,Male,MUV,1
167,Male,Sedan,1
168,Male,MUV,0
169,Male,Coupe,1
170,Male,Sedan,0
171,Male,MUV,0
172,Female,Convertible,0
173,Female,MUV,1
174,Male,SUV,0
175,Female,Convertible,1
176,Female,Hatchback,0
177,Male,Coupe,0
178,Male,SUV,0
179,Female,Coupe,0
180,Female,Hatchback,0
181,Male,SUV,1
182,Male,Hatchback,0
183,Male,SUV,0
184,Male,MUV,0
185,Female,Coupe,0
186,Female,SUV,0
187,Female,SUV,0
188,Male,SUV,1
189,Male,MUV,0
190,Female,SUV,1
191,Male,Convertible,1
192,Male,Coupe,1
193,Male,SUV,0
194,Male,Hatchback,1
195,Male,Convertible,0
196,Female,Hatchback,0
197,Female,MUV,0
198,Male,SUV,0
199,Female,MUV,1
200,Male,Convertible,1
201,Male,Coupe,1
202,Male,SUV,0
203,Male,MUV,1
204,Female,Coupe,0
205,Female,SUV,0
206,Female,Hatchback,1
207,Female,Convertible,0
208,Female,Convertible,1
209,Female,Coupe,1
210,Male,Hatchback,1
211,Female,MUV,1
212,Male,Hatchback,1
213,Female,SUV,0
214,Male,MUV,0
215,Male,Hatchback,1
216,Male,Sedan,1
217,Female,MUV,0
218,Female,Convertible,0
219,Male,SUV,1
220,Female,Sedan,1
221,Female,Sedan,1
222,Female,Sedan,0
223,Female,Coupe,0
224,Female,Convertible,1
225,Male,Convertible,0
226,Female,Coupe,1
227,Female,Coupe,1
228,Female,MUV,0
229,Female,Hatchback,1
230,Male,Coupe,0
231,Female,Sedan,1
232,Female,Coupe,1
233,Male,Hatchback,1
234,Female,Sedan,0
235,Female,Convertible,1
236,Male,SUV,0
237,Male,Coupe,1
238,Male,Coupe,1
239,Male,Coupe,1
240,Female,Hatchback,1
241,Male,SUV,1
242,Female,Convertible,1
243,Female,Sedan,1
244,Female,Convertible,1
245,Female,MUV,1
246,Female,Hatchback,1
