,category,target
0,Male,1
1,Female,1
2,Female,1
3,Female,0
4,Male,1
5,Female,1
6,Male,1
7,Male,0
8,Female,1
9,Male,0
10,Female,1
11,Female,1
12,Female,1
13,Female,1
14,Female,1
15,Female,1
16,Female,1
17,Male,0
18,Male,1
19,Female,1
20,Male,0
21,Female,0
22,Male,1
23,Female,1
24,Male,1
25,Male,1
26,Male,1
27,Female,1
28,Female,0
29,Female,1
30,Female,1
31,Female,1
32,Male,1
33,Female,0
34,Male,1
35,Female,0
36,Male,1
37,Female,0
38,Female,0
39,Female,0
40,Male,0
41,Female,1
42,Female,1
43,Male,0
44,Male,1
45,Male,0
46,Male,1
47,Male,1
48,Female,0
49,Male,0
50,Female,0
51,Female,1
52,Female,1
53,Female,0
54,Male,1
55,Male,1
56,Female,1
57,Female,1
58,Male,0
59,Female,1
60,Male,1
61,Female,0
62,Female,0
63,Male,0
64,Male,1
65,Male,0
66,Female,1
67,Female,0
68,Female,1
69,Male,0
70,Female,0
71,Female,0
72,Male,0
73,Male,1
74,Female,1
75,Male,0
76,Male,0
77,Male,0
78,Female,1
79,Female,1
80,Female,1
81,Female,0
82,Female,1
83,Female,1
84,Male,1
85,Female,1
86,Male,1
87,Male,0
88,Female,1
89,Female,1
90,Male,1
91,Female,1
92,Female,1
93,Female,1
94,Male,1
95,Male,0
96,Female,1
97,Female,1
98,Female,1
99,Female,0
100,Male,1
101,Male,1
102,Male,1
103,Female,0
104,Female,0
105,Male,0
106,Female,1
107,Female,0
108,Male,1
109,Female,1
110,Female,1
111,Male,1
112,Male,0
113,Male,0
114,Male,0
115,Female,1
116,Male,0
117,Male,1
118,Male,1
119,Male,0
120,Male,1
121,Male,0
122,Female,0
123,Female,0
124,Female,0
125,Male,0
126,Male,1
127,Male,1
128,Female,1
129,Male,0
130,Female,0
131,Male,1
132,Male,1
133,Male,1
134,Female,1
135,Female,0
136,Male,0
137,Male,1
138,Male,0
139,Female,0
140,Male,0
141,Male,0
142,Male,1
143,Female,1
144,Male,0
145,Female,1
146,Male,1
147,Male,1
148,Male,0
149,Female,0
150,Male,0
151,Female,1
152,Female,0
153,Male,1
154,Female,0
155,Female,1
156,Male,0
157,Male,1
158,Male,0
159,Female,1
160,Male,0
161,Female,0
162,Male,1
163,Male,1
164,Male,0
165,Female,1
166,Male,1
167,Female,0
168,Male,0
169,Female,0
170,Female,0
171,Female,1
172,Male,1
173,Female,1
174,Female,0
175,Female,0
176,Female,1
177,Male,1
178,Male,0
179,Female,1
180,Male,0
181,Male,1
182,Female,0
183,Female,1
184,Male,0
185,Female,1
186,Male,1
187,Female,1
188,Female,0
189,Female,1
190,Male,1
191,Female,0
192,Female,0
193,Male,1
194,Female,0
195,Male,0
196,Male,1
197,Female,1
198,Female,0
199,Male,0
200,Female,0
201,Female,0
202,Male,1
203,Female,1
204,Female,0
